,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
371,久遠たま-Tama Channel-,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.19 Day(s),96.7k,7m
372,RaddPupper,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 35.11 Day(s),1.4m,61.5m
373,nux taku,VStreamer,Independent,"['Anime', 'Chatting', 'Gaming', 'Manga']",Female,['English'],['L2D'],Aug 18 2014,Active,Every 4.56 Day(s),266.7k,977.9k
374,Luis Cammy,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/11/03,+ Add,Every 1.67 Day(s),185k,17.1m
375,Ginjo sisters,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/04/26,+ Add,Every 2.68 Day(s),80.9k,5.4m
376,Tenjin Kotone,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/04/27,Active,Every 2.19 Day(s),341k,89.4m
377,Girl Dm,VStreamer,Independent,[],Female,['English'],['3D'],2020/05/07,+ Add,Every 1.63 Day(s),155.5k,1.4m
378,波羅ノ鬼,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 5.7 Day(s),167k,21.4m
379,Magrona,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/06/05,+ Add,Every 1.06 Day(s),95.7k,8.6m
380,Inui Toko,VTuber,Nijisanji,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/03/23,Active,Every 3.6 Day(s),557k,75.9m
381,Reina Official Live,VTuber,Independent,[],Female,['Japanese'],[],+ Add,Retired,Every 2.13 Day(s),72.8k,3.8m
382,Suntory Nomu,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/08/17,+ Add,Every 7.25 Day(s),165k,34.3m
383,ココツキCocoTsuki Project,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.29 Day(s),77.8k,8.6m
384,Ginga Alice,VTuber,Balus,['Chatting'],Female,['Japanese'],['3D'],2018/05/14,Active,Every 6.24 Day(s),74.5k,10.5m
385,Virtual Noja Loli Kitsunemusume Youtuber Ojisan,VTuber,REALITY,[],Female,['Japanese'],['3D'],2017/12/05,+ Add,Every 16.83 Day(s),176k,14.9m
386,Mononobe Alice,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/03/13,+ Add,Every 3.93 Day(s),242k,23.9m
387,Inugami Korone,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/04/13,Active,Every 1.52 Day(s),1.8m,178.8m
388,Shiina Yuika,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/01,+ Add,Every 1.45 Day(s),535k,109.6m
389,Nekonoki Mochi,VTuber,.LIVE,[],Female,['Japanese'],"['3D', 'L2D']",2018/05/06,Retired,Every 9.33 Day(s),75.2k,4.6m
390,눈보라 / Bora Nun 【NIJISANJI KR】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.52 Day(s),259k,624.6k
391,kson ONAIR,VTuber,Independent,[],Female,"['English', 'Japanese']",['3D'],2018-10-26,Active,Every 3.06 Day(s),1.1m,40.8m
392,hololive English,VTuber,Hololive,[],Female,['English'],[],+ Add,+ Add,Every 27.53 Day(s),411k,11.8m
393,Tsukino Mito,VTuber,Nijisanji,"['Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2018/02/07,Active,Every 2.24 Day(s),807k,187m
394,Obaachan,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/01/30,+ Add,Every 1.57 Day(s),272k,96m
395,Delutaya,VTuber,Independent,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],[],+ Add,Active,Every 22.33 Day(s),183k,1.3m
396,Kano (Hanayori),VTuber,Independent,[],Female,['Japanese'],"['3D', 'L2D']",2019/08/01,+ Add,Every 4.96 Day(s),116k,3.3m
397,兎咲ミミ / Tosaki Mimi,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.25 Day(s),82.7k,5.6m
398,Emoco,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/04/24,+ Add,Every 8.78 Day(s),129k,14m
399,PinkTrilobite,VStreamer,Independent,[],Female,['English'],['3D'],03/10/2020,+ Add,Every 3.75 Day(s),73.9k,762.6k
400,Amane Kanata,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/12/27,Active,Every 0.76 Day(s),1.1m,164m
401,Dola,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/06/07,+ Add,Every 2.43 Day(s),296k,30.7m
402,Aiba Uiha,VTuber,Nijisanji,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.19 Day(s),306k,27.2m
403,Tokoyami Towa,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2020/01/03,Active,Every 1.14 Day(s),907k,80.2m
404,Saegusa Akina,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/04/07,+ Add,Every 1.84 Day(s),422k,72.2m
405,Hoozuki Warabe,VTuber,NoriPro,"['Art', 'Chatting', 'Education', 'Gaming', 'Music']",Male,['Japanese'],"['L2D', 'PNG']",+ Add,Active,Every 1.55 Day(s),141k,8.6m
406,Yukishiro Mahiro,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/05/01,+ Add,Every 1.36 Day(s),138k,6.2m
407,Yumeoi Kakeru,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/09/25,+ Add,Every 2.2 Day(s),269k,54.7m
408,shachimu,VTuber,Independent,[],Male,['English'],['3D'],+ Add,+ Add,Every 5.49 Day(s),1m,29m
409,Hanasaki Miyabi,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2019/06/08,+ Add,Every 1.49 Day(s),114k,3.5m
410,Mikado CH.帝,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.77 Day(s),102k,8.7m
411,杏仁ミル,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.21 Day(s),368k,26m
412,Hina Misora,VTuber,WACTOR,"['Chatting', 'Gaming']",Female,"['Japanese', 'Spanish']",['L2D'],5/25/2021,Active,Every 1.31 Day(s),96.1k,4.3m
413,Kakyoin Chieri,VTuber,.LIVE,[],Female,['Japanese'],"['3D', 'L2D']",2018/05/05,+ Add,Every 0.82 Day(s),106k,19.9m
414,Nanahira,VTuber,Independent,[],Female,['Japanese'],['L2D'],9 March 2020,+ Add,Every 9.96 Day(s),136k,14.4m
415,Rindou Mikoto,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/31,+ Add,Every 4.28 Day(s),477k,45.6m
416,Azuma Lim,VTuber,Cyber V,[],Female,['Japanese'],['3D'],2018/03/01,+ Add,Every 4.62 Day(s),207k,9.3m
417,Yomemi,VTuber,Independent,[],Female,['Japanese'],['3D'],2019/09/02,+ Add,Every 9.22 Day(s),494k,78.9m
418,Genzuki Tojiro,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2020/04/04,+ Add,Every 2.1 Day(s),219k,27.5m
419,Kamishiro Natsume,VTuber,Independent,[],Female,['Japanese'],"['3D', 'L2D']",2019/11/08,+ Add,Every 1.82 Day(s),77.4k,7.8m
420,Kuzuha,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/03/08,Active,Every 1.22 Day(s),1.2m,376.5m
421,Bunny GIF,VTuber,Independent,[],Female,['English'],['3D'],2020-06-03,+ Add,Every 2.08 Day(s),194.2k,2.9m
422,GUDETAMA / ぐでたま【Sanrio Official】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.11 Day(s),254k,104.7m
